round, size, pvdup, meanpv, rpsneigh, sonneig, completeness, messages
483, 200, 0, 5.0, 5, 5, 98, 1010
484, 200, 0, 5.0, 5, 5, 97, 990
485, 200, 0, 5.0, 5, 5, 98, 1000
486, 200, 0, 5.0, 5, 5, 98, 1010
487, 200, 0, 5.0, 5, 5, 97, 990
488, 200, 0, 5.0, 5, 5, 98, 1000
489, 200, 0, 5.0, 5, 5, 98, 1000
490, 200, 0, 5.0, 5, 5, 98, 1000
491, 200, 0, 5.0, 5, 5, 98, 1000
492, 200, 0, 5.0, 5, 5, 98, 1000
493, 200, 0, 5.0, 5, 5, 98, 1000
494, 200, 0, 5.0, 5, 5, 98, 1000
495, 200, 0, 5.0, 5, 5, 98, 1000
496, 200, 0, 5.0, 5, 5, 98, 1000
497, 200, 0, 5.0, 5, 5, 98, 1000
498, 200, 0, 5.0, 5, 5, 98, 1010
499, 200, 0, 5.0, 5, 5, 97, 990
500, 200, 0, 5.0, 5, 5, 98, 1000
501, 200, 0, 5.0, 5, 5, 98, 1000
502, 200, 0, 5.0, 5, 5, 98, 1000
503, 200, 0, 5.0, 5, 5, 98, 1000
504, 200, 0, 5.0, 5, 5, 98, 1000
505, 200, 0, 5.0, 5, 5, 98, 1000
506, 200, 0, 5.0, 5, 5, 98, 1000
507, 200, 0, 5.0, 5, 5, 98, 1010
508, 200, 0, 5.0, 5, 5, 97, 990
509, 200, 0, 5.0, 5, 5, 98, 1000
510, 200, 0, 5.0, 5, 5, 98, 1000
511, 200, 0, 5.0, 5, 5, 98, 1000
512, 200, 0, 5.0, 5, 5, 98, 1000
513, 200, 0, 5.0, 5, 5, 98, 1000
514, 200, 0, 5.0, 5, 5, 98, 1000
515, 200, 0, 5.0, 5, 5, 98, 1000
516, 200, 0, 5.0, 5, 5, 98, 1000
517, 200, 0, 5.0, 5, 5, 98, 1000
518, 200, 0, 5.0, 5, 5, 98, 1000
519, 200, 0, 5.0, 5, 5, 98, 1010
520, 200, 0, 5.0, 5, 5, 97, 1000
521, 200, 0, 5.0, 5, 5, 97, 990
522, 200, 0, 5.0, 5, 5, 98, 1000
523, 200, 0, 5.0, 5, 5, 98, 1000
524, 200, 0, 5.0, 5, 5, 98, 1000
525, 200, 0, 5.0, 5, 5, 98, 1000
526, 200, 0, 5.0, 5, 5, 98, 1000
527, 200, 0, 5.0, 5, 5, 98, 1000
528, 200, 0, 5.0, 5, 5, 98, 1000
529, 200, 0, 5.0, 5, 5, 98, 1000
530, 200, 0, 5.0, 5, 5, 98, 1000
531, 200, 0, 5.0, 5, 5, 98, 1000
532, 200, 0, 5.0, 5, 5, 98, 1010
533, 200, 0, 5.0, 5, 5, 97, 990
534, 200, 0, 5.0, 5, 5, 98, 1000
